time (seconds),encoderLeft (meters),encoderRight (meters)
5.395,3.518524408340454,-0.0000664043182041496
5.502,3.5185234546661377,-0.00006764361751265824
5.602,3.518522262573242,-0.00006895963451825082
5.702,3.5185210704803467,-0.00007022498903097585
5.8,3.518519878387451,-0.00007153356273192912
5.902,3.5185186862945557,-0.00007283975719474256
5.998,3.51851749420166,-0.00007414819992845878
6.102,3.5185165405273438,-0.00007541462400695309
6.201,3.5185153484344482,-0.0000766875600675121
6.302,3.5185141563415527,-0.00007796902355039492
6.402,3.5185129642486572,-0.00007930335414130241
6.502,3.5185117721557617,-0.00008057286322582513
6.598,3.518510580062866,-0.00008184571197489277
6.701,3.5185093879699707,-0.00008314076694659889
6.802,3.518508195877075,-0.00008444330887869
6.902,3.518507242202759,-0.00008572576916776597
7.002,3.5185060501098633,-0.00008701042679604143
7.102,3.5185048580169678,-0.00008829559374134988
7.203,3.5185036659240723,-0.00008961313869804144
7.301,3.5185024738311768,-0.00009092023537959903
7.402,3.5185012817382812,-0.00009221991058439016
7.494,3.5185000896453857,-0.00009350541949970648
7.602,3.5184988975524902,-0.00009481250890530646
7.702,3.5184977054595947,-0.00009613786824047565
7.786,3.5184967517852783,-0.00009743292321218178
7.901,3.518495559692383,-0.00009871962538454682
8.003,3.5184943675994873,-0.00010000432666856796
8.102,3.518493175506592,-0.00010128634312422946
8.202,3.5184919834136963,-0.00010258785914629698
8.301,3.518490791320801,-0.00010388789814896882
8.402,3.5184895992279053,-0.00010515587928239256
8.501,3.518488645553589,-0.00010645871225278825
8.602,3.5184874534606934,-0.00010771425149869174
8.702,3.518486261367798,-0.00010901888890657574
8.802,3.5184850692749023,-0.00011031216126866639
8.902,3.518483877182007,-0.00011161477596033365
9.003,3.5184826850891113,-0.00011287392408121377
9.103,3.518481492996216,-0.0001141917600762099
9.2,3.5184805393218994,-0.00011542914580786601
9.303,3.518479347229004,-0.00011675023415591568
9.402,3.5184781551361084,-0.00011807009286712855
9.502,3.518476963043213,-0.00011937766976188868
9.602,3.5184757709503174,-0.00012067643547197804
9.711,3.518474578857422,-0.00012198532931506634
9.802,3.5184733867645264,-0.00012327574950177222
9.901,3.518472194671631,-0.0001245706807821989
10.001,3.5184710025787354,-0.00012587358651217073
10.102,3.518470048904419,-0.00012713194882962853
10.199,3.5184688568115234,-0.00012844882439821959
10.295,3.518467664718628,-0.00012972085096407682
10.399000000000001,3.5184664726257324,-0.00013102006050758064
10.502,3.518465280532837,-0.0001323063188465312
10.600999999999999,3.5184640884399414,-0.00013362415484152734
10.702,3.518462896347046,-0.0001348885562038049
10.801,3.5184619426727295,-0.0001361811300739646
10.901,3.518460750579834,-0.00013745213800575584
10.999,3.5184595584869385,-0.0001387636293657124
11.102,3.5184593200683594,-0.00013906363165006042
11.201,3.5184593200683594,-0.00013906363165006042
11.307,3.5184593200683594,-0.00013906363165006042
11.4,3.5184593200683594,-0.00013906363165006042
11.502,3.5184595584869385,-0.00013891959679313004
11.602,3.5184590816497803,-0.00013958167983219028
11.701,3.5184578895568848,-0.00014093804929871112
11.79,3.5184566974639893,-0.00014229763473849744
11.901,3.5184555053710938,-0.0001436544698663056
12.002,3.5184543132781982,-0.00014501514669973403
12.099,3.5184528827667236,-0.00014637755521107465
12.202,3.518451690673828,-0.00014773277507629246
12.301,3.5184504985809326,-0.0001490958093199879
12.402,3.518449306488037,-0.00015045642794575542
12.502,3.5184481143951416,-0.00015181591152213514
12.602,3.518446683883667,-0.00015317443467210978
12.702,3.5184454917907715,-0.00015453813830390573
12.802,3.518444299697876,-0.0001558969379402697
12.902,3.5184431076049805,-0.00015720965166110545
13,3.518441915512085,-0.0001584717829246074
13.101,3.5184407234191895,-0.00015978013107087463
13.202,3.518439769744873,-0.00016105995746329427
13.302,3.5184385776519775,-0.00016237529052887112
13.398,3.518437385559082,-0.00016366246563848108
13.504,3.5184361934661865,-0.00016491660790052265
13.600999999999999,3.518435001373291,-0.0001662571739871055
13.702,3.5184338092803955,-0.00016754251555539668
13.8,3.5184326171875,-0.0001688576739979908
13.902,3.5184314250946045,-0.00017016091442201287
14.002,3.518430233001709,-0.0001714607496978715
14.102,3.5184290409088135,-0.00017274288984481245
14.202,3.518428087234497,-0.0001740450388751924
14.302,3.5184268951416016,-0.00017533122445456684
14.402,3.518425703048706,-0.00017662407481111586
14.504,3.5184245109558105,-0.00017792722792364657
14.602,3.518423318862915,-0.00017922655388247222
14.702,3.5184221267700195,-0.00018049213394988328
14.801,3.518420934677124,-0.0001817665615817532
14.899000000000001,3.5184199810028076,-0.00018306029960513115
